2022-05-03 13:36:41.653 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration clob -> org.hibernate.type.BasicTypeReference@7e19d13d
2022-05-03 13:36:41.653 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration java.sql.Clob -> org.hibernate.type.BasicTypeReference@7e19d13d
2022-05-03 13:36:41.653 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration nclob -> org.hibernate.type.BasicTypeReference@3f617ab2
2022-05-03 13:36:41.653 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration java.sql.NClob -> org.hibernate.type.BasicTypeReference@3f617ab2
2022-05-03 13:36:41.653 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration materialized_clob -> org.hibernate.type.BasicTypeReference@7826c8b8
2022-05-03 13:36:41.653 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration materialized_clob_char_array -> org.hibernate.type.BasicTypeReference@7e75b3b2
2022-05-03 13:36:41.653 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration materialized_clob_character_array -> org.hibernate.type.BasicTypeReference@4e551578
2022-05-03 13:36:41.653 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration materialized_nclob -> org.hibernate.type.BasicTypeReference@7ad552ea
2022-05-03 13:36:41.654 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration materialized_nclob_character_array -> org.hibernate.type.BasicTypeReference@34f82600
2022-05-03 13:36:41.654 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration materialized_nclob_char_array -> org.hibernate.type.BasicTypeReference@67c3fb0e
2022-05-03 13:36:41.654 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration Duration -> org.hibernate.type.BasicTypeReference@15bdc5b
2022-05-03 13:36:41.654 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration java.time.Duration -> org.hibernate.type.BasicTypeReference@15bdc5b
2022-05-03 13:36:41.654 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration LocalDateTime -> org.hibernate.type.BasicTypeReference@51499c98
2022-05-03 13:36:41.654 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration java.time.LocalDateTime -> org.hibernate.type.BasicTypeReference@51499c98
2022-05-03 13:36:41.654 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration LocalDate -> org.hibernate.type.BasicTypeReference@24f47897
